"iso2c","country","year"
"DE","Germany",1989
"DE","Germany",1990
"DE","Germany",1991
"DE","Germany",1992
"DE","Germany",1993
"DE","Germany",1994
"DE","Germany",1995
"DE","Germany",1996
"DE","Germany",1997
"DE","Germany",1998
"DE","Germany",1999
"DE","Germany",2000
"DE","Germany",2001
"DE","Germany",2002
"DE","Germany",2003
"DE","Germany",2004
"DE","Germany",2005
"DE","Germany",2006
"DE","Germany",2007
"DE","Germany",2008
"DE","Germany",2009
"DE","Germany",2010
"DE","Germany",2011
"DE","Germany",2012
"DE","Germany",2013
"DE","Germany",2014
"DE","Germany",2015
"GR","Greece",1981
"GR","Greece",1982
"GR","Greece",1983
"GR","Greece",1984
"GR","Greece",1985
"GR","Greece",1986
"GR","Greece",1987
"GR","Greece",1988
"GR","Greece",1989
"GR","Greece",1990
"GR","Greece",1991
"GR","Greece",1992
"GR","Greece",1993
"GR","Greece",1994
"GR","Greece",1995
"GR","Greece",1996
"GR","Greece",1997
"GR","Greece",1998
"GR","Greece",1999
"GR","Greece",2000
"GR","Greece",2001
"GR","Greece",2002
"GR","Greece",2003
"GR","Greece",2004
"GR","Greece",2005
"GR","Greece",2006
"GR","Greece",2007
"GR","Greece",2008
"GR","Greece",2009
"GR","Greece",2010
"GR","Greece",2011
"GR","Greece",2012
"GR","Greece",2013
"GR","Greece",2014
"GR","Greece",2015
"HU","Hungary",2004
"HU","Hungary",2005
"HU","Hungary",2006
"HU","Hungary",2007
"HU","Hungary",2008
"HU","Hungary",2009
"HU","Hungary",2010
"HU","Hungary",2011
"HU","Hungary",2012
"HU","Hungary",2013
"HU","Hungary",2014
"HU","Hungary",2015
"IE","Ireland",1973
"IE","Ireland",1974
"IE","Ireland",1975
"IE","Ireland",1976
"IE","Ireland",1977
"IE","Ireland",1978
"IE","Ireland",1979
"IE","Ireland",1980
"IE","Ireland",1981
"IE","Ireland",1982
"IE","Ireland",1983
"IE","Ireland",1984
"IE","Ireland",1985
"IE","Ireland",1986
"IE","Ireland",1987
"IE","Ireland",1988
"IE","Ireland",1989
"IE","Ireland",1990
"IE","Ireland",1991
"IE","Ireland",1992
"IE","Ireland",1993
"IE","Ireland",1994
"IE","Ireland",1995
"IE","Ireland",1996
"IE","Ireland",1997
"IE","Ireland",1998
"IE","Ireland",1999
"IE","Ireland",2000
"IE","Ireland",2001
"IE","Ireland",2002
"IE","Ireland",2003
"IE","Ireland",2004
"IE","Ireland",2005
"IE","Ireland",2006
"IE","Ireland",2007
"IE","Ireland",2008
"IE","Ireland",2009
"IE","Ireland",2010
"IE","Ireland",2011
"IE","Ireland",2012
"IE","Ireland",2013
"IE","Ireland",2014
"IE","Ireland",2015
"IT","Italy",1958
"IT","Italy",1959
"IT","Italy",1960
"IT","Italy",1961
"IT","Italy",1962
"IT","Italy",1963
"IT","Italy",1964
"IT","Italy",1965
"IT","Italy",1966
"IT","Italy",1967
"IT","Italy",1968
"IT","Italy",1969
"IT","Italy",1970
"IT","Italy",1971
"IT","Italy",1972
"IT","Italy",1973
"IT","Italy",1974
"IT","Italy",1975
"IT","Italy",1976
"IT","Italy",1977
"IT","Italy",1978
"IT","Italy",1979
"IT","Italy",1980
"IT","Italy",1981
"IT","Italy",1982
"IT","Italy",1983
"IT","Italy",1984
"IT","Italy",1985
"IT","Italy",1986
"IT","Italy",1987
"IT","Italy",1988
"IT","Italy",1989
"IT","Italy",1990
"IT","Italy",1991
"IT","Italy",1992
"IT","Italy",1993
"IT","Italy",1994
"IT","Italy",1995
"IT","Italy",1996
"IT","Italy",1997
"IT","Italy",1998
"IT","Italy",1999
"IT","Italy",2000
"IT","Italy",2001
"IT","Italy",2002
"IT","Italy",2003
"IT","Italy",2004
"IT","Italy",2005
"IT","Italy",2006
"IT","Italy",2007
"IT","Italy",2008
"IT","Italy",2009
"IT","Italy",2010
"IT","Italy",2011
"IT","Italy",2012
"IT","Italy",2013
"IT","Italy",2014
"IT","Italy",2015
"LV","Latvia",2004
"LV","Latvia",2005
"LV","Latvia",2006
"LV","Latvia",2007
"LV","Latvia",2008
"LV","Latvia",2009
"LV","Latvia",2010
"LV","Latvia",2011
"LV","Latvia",2012
"LV","Latvia",2013
"LV","Latvia",2014
"LV","Latvia",2015
"LT","Lithuania",2004
"LT","Lithuania",2005
"LT","Lithuania",2006
"LT","Lithuania",2007
"LT","Lithuania",2008
"LT","Lithuania",2009
"LT","Lithuania",2010
"LT","Lithuania",2011
"LT","Lithuania",2012
"LT","Lithuania",2013
"LT","Lithuania",2014
"LT","Lithuania",2015
"LU","Luxembourg",1958
"LU","Luxembourg",1959
"LU","Luxembourg",1960
"LU","Luxembourg",1961
"LU","Luxembourg",1962
"LU","Luxembourg",1963
"LU","Luxembourg",1964
"LU","Luxembourg",1965
"LU","Luxembourg",1966
"LU","Luxembourg",1967
"LU","Luxembourg",1968
"LU","Luxembourg",1969
"LU","Luxembourg",1970
"LU","Luxembourg",1971
"LU","Luxembourg",1972
"LU","Luxembourg",1973
"LU","Luxembourg",1974
"LU","Luxembourg",1975
"LU","Luxembourg",1976
"LU","Luxembourg",1977
"LU","Luxembourg",1978
"LU","Luxembourg",1979
"LU","Luxembourg",1980
"LU","Luxembourg",1981
"LU","Luxembourg",1982
"LU","Luxembourg",1983
"LU","Luxembourg",1984
"LU","Luxembourg",1985
"LU","Luxembourg",1986
"LU","Luxembourg",1987
"LU","Luxembourg",1988
"LU","Luxembourg",1989
"LU","Luxembourg",1990
"LU","Luxembourg",1991
"LU","Luxembourg",1992
"LU","Luxembourg",1993
"LU","Luxembourg",1994
"LU","Luxembourg",1995
"LU","Luxembourg",1996
"LU","Luxembourg",1997
"LU","Luxembourg",1998
"LU","Luxembourg",1999
"LU","Luxembourg",2000
"LU","Luxembourg",2001
"LU","Luxembourg",2002
"LU","Luxembourg",2003
"LU","Luxembourg",2004
"LU","Luxembourg",2005
"LU","Luxembourg",2006
"LU","Luxembourg",2007
"LU","Luxembourg",2008
"LU","Luxembourg",2009
"LU","Luxembourg",2010
"LU","Luxembourg",2011
"LU","Luxembourg",2012
"LU","Luxembourg",2013
"LU","Luxembourg",2014
"LU","Luxembourg",2015
"MT","Malta",2004
"MT","Malta",2005
"MT","Malta",2006
"MT","Malta",2007
"MT","Malta",2008
"MT","Malta",2009
"MT","Malta",2010
"MT","Malta",2011
"MT","Malta",2012
"MT","Malta",2013
"MT","Malta",2014
"MT","Malta",2015
"NL","Netherlands",1958
"NL","Netherlands",1959
"NL","Netherlands",1960
"NL","Netherlands",1961
"NL","Netherlands",1962
"NL","Netherlands",1963
"NL","Netherlands",1964
"NL","Netherlands",1965
"NL","Netherlands",1966
"NL","Netherlands",1967
"NL","Netherlands",1968
"NL","Netherlands",1969
"NL","Netherlands",1970
"NL","Netherlands",1971
"NL","Netherlands",1972
"NL","Netherlands",1973
"NL","Netherlands",1974
"NL","Netherlands",1975
"NL","Netherlands",1976
"NL","Netherlands",1977
"NL","Netherlands",1978
"NL","Netherlands",1979
"NL","Netherlands",1980
"NL","Netherlands",1981
"NL","Netherlands",1982
"NL","Netherlands",1983
"NL","Netherlands",1984
